# Per-node clock delay, fitted by ClkNodeFit
# part: xcv80-lsva4737-2MHP-e-S
# term slow_max_ps slow_min_ps

clock_deskew vdistr extent

clock_node_delay  # trunk node instance + leaf type
RCLK_BRAM_CLKBUF_CORE_X95Y671/IF_HCLK_R_CLK_HDISTR# 120.79 116.04
RCLK_BRAM_CLKBUF_CORE_X95Y767/IF_HCLK_R_CLK_HDISTR# 78.66 77.44
RCLK_BRAM_CLKBUF_CORE_X95Y863/IF_HCLK_R_CLK_HDISTR# 93.57 90.54
RCLK_BRAM_CORE_X102Y479/CLK_LEAF_SITES_0_I 102.85 91.33
RCLK_BRAM_CORE_X114Y767/CLK_LEAF_SITES_6_I -103.68 -86.62
RCLK_BRAM_CORE_X114Y863/CLK_LEAF_SITES_3_I -13.39 -7.57
RCLK_BRAM_CORE_X115Y767/CLK_LEAF_SITES_6_I -96.63 -81.74
RCLK_BRAM_CORE_X115Y863/CLK_LEAF_SITES_3_I -5.73 -0.40
RCLK_BRAM_CORE_X21Y288/CLK_LEAF_SITES_0_I 71.34 68.32
RCLK_BRAM_CORE_X21Y479/CLK_LEAF_SITES_12_I -0.01 1.19
RCLK_BRAM_CORE_X21Y671/CLK_LEAF_SITES_12_I 61.30 58.82
RCLK_BRAM_CORE_X32Y288/CLK_LEAF_SITES_0_I 100.86 91.67
RCLK_BRAM_CORE_X32Y383/CLK_LEAF_SITES_0_I 154.27 144.71
RCLK_BRAM_CORE_X32Y479/CLK_LEAF_SITES_12_I 102.38 101.83
RCLK_BRAM_CORE_X32Y671/CLK_LEAF_SITES_12_I 38.11 38.50
RCLK_BRAM_CORE_X40Y288/CLK_LEAF_SITES_0_I -26.23 -23.82
RCLK_BRAM_CORE_X40Y479/CLK_LEAF_SITES_12_I -84.05 -82.63
RCLK_BRAM_CORE_X40Y671/CLK_LEAF_SITES_12_I -138.36 -129.10
RCLK_BRAM_CORE_X46Y288/CLK_LEAF_SITES_0_I -45.64 -45.48
RCLK_BRAM_CORE_X46Y671/CLK_LEAF_SITES_12_I -171.28 -159.40
RCLK_BRAM_CORE_X60Y288/CLK_LEAF_SITES_0_I 97.37 83.43
RCLK_BRAM_CORE_X68Y671/CLK_LEAF_SITES_12_I 118.45 124.36
RCLK_CLE_CORE_X11Y288/CLK_LEAF_SITES_0_I 18.49 14.21
RCLK_CLE_CORE_X11Y288/CLK_LEAF_SITES_10_I -108.44 -95.37
RCLK_CLE_CORE_X11Y767/CLK_LEAF_SITES_0_I -13.60 -14.58
RCLK_CLE_CORE_X11Y767/CLK_LEAF_SITES_10_I 50.77 42.15
RCLK_CLE_CORE_X11Y767/CLK_LEAF_SITES_12_I -37.97 -36.81
RCLK_CLE_CORE_X11Y767/CLK_LEAF_SITES_13_I 65.66 56.16
RCLK_CLE_CORE_X11Y767/CLK_LEAF_SITES_4_I -7.26 -6.44
RCLK_CLE_CORE_X11Y863/CLK_LEAF_SITES_0_I 14.15 7.13
RCLK_CLE_CORE_X11Y863/CLK_LEAF_SITES_12_I 1.61 2.27
RCLK_CLE_CORE_X11Y863/CLK_LEAF_SITES_13_I -3.56 -0.54
RCLK_CLE_CORE_X11Y863/CLK_LEAF_SITES_4_I -1.86 1.40
RCLK_CLE_CORE_X13Y288/CLK_LEAF_SITES_0_I 20.08 16.27
RCLK_CLE_CORE_X13Y288/CLK_LEAF_SITES_10_I -54.56 -47.84
RCLK_CLE_CORE_X13Y767/CLK_LEAF_SITES_0_I -36.81 -33.94
RCLK_CLE_CORE_X13Y767/CLK_LEAF_SITES_10_I 46.16 40.29
RCLK_CLE_CORE_X13Y767/CLK_LEAF_SITES_12_I -19.67 -18.87
RCLK_CLE_CORE_X13Y767/CLK_LEAF_SITES_13_I 0.00 0.00
RCLK_CLE_CORE_X13Y767/CLK_LEAF_SITES_4_I -24.25 -20.93
RCLK_CLE_CORE_X13Y863/CLK_LEAF_SITES_0_I 9.85 2.07
RCLK_CLE_CORE_X13Y863/CLK_LEAF_SITES_12_I 6.01 5.46
RCLK_CLE_CORE_X13Y863/CLK_LEAF_SITES_13_I -2.24 -1.08
RCLK_CLE_CORE_X13Y863/CLK_LEAF_SITES_4_I 9.14 11.39
RCLK_CLE_CORE_X1Y288/CLK_LEAF_SITES_0_I -6.04 -5.65
RCLK_CLE_CORE_X1Y288/CLK_LEAF_SITES_10_I -20.13 -16.07
RCLK_CLE_CORE_X1Y479/CLK_LEAF_SITES_0_I 13.36 10.51
RCLK_CLE_CORE_X1Y479/CLK_LEAF_SITES_12_I 22.85 20.78
RCLK_CLE_CORE_X1Y479/CLK_LEAF_SITES_13_I 24.26 26.28
RCLK_CLE_CORE_X1Y479/CLK_LEAF_SITES_4_I -4.38 -3.51
RCLK_CLE_CORE_X1Y575/CLK_LEAF_SITES_0_I 7.78 7.85
RCLK_CLE_CORE_X1Y575/CLK_LEAF_SITES_12_I -14.70 -13.00
RCLK_CLE_CORE_X1Y575/CLK_LEAF_SITES_13_I 0.00 0.00
RCLK_CLE_CORE_X1Y575/CLK_LEAF_SITES_4_I -19.47 -16.70
RCLK_CLE_CORE_X1Y767/CLK_LEAF_SITES_0_I -39.83 -37.08
RCLK_CLE_CORE_X1Y767/CLK_LEAF_SITES_10_I 43.14 36.23
RCLK_CLE_CORE_X1Y767/CLK_LEAF_SITES_12_I -45.58 -41.93
RCLK_CLE_CORE_X1Y767/CLK_LEAF_SITES_13_I 68.13 60.72
RCLK_CLE_CORE_X1Y767/CLK_LEAF_SITES_4_I -14.90 -11.86
RCLK_CLE_CORE_X1Y863/CLK_LEAF_SITES_0_I 15.81 7.78
RCLK_CLE_CORE_X1Y863/CLK_LEAF_SITES_12_I 3.69 3.63
